country,max_pop
Albania,3600523
Austria,8199783
Belgium,10392226
Bosnia and Herzegovina,4552198
Bulgaria,8971958
Croatia,4494013
Czech Republic,10315702
Denmark,5468120
Finland,5238460
France,61083916
Germany,82400996
Greece,10706290
Hungary,10705535
Iceland,301931
Ireland,4109086
Italy,58147733
Montenegro,720230
Netherlands,16570613
Norway,4627926
Poland,38654957
Portugal,10642836
Romania,22797027
Serbia,10336594
Slovak Republic,5447502
Slovenia,2011612
Spain,40448191
Sweden,9031088
Switzerland,7554661
Turkey,71158647
United Kingdom,60776238
